"['41339-17-7', 'BD4695']"
"['116650-33-0', 'BD47512']"
"['175230-02-1', 'BD482896']"
"['758699-84-2', 'BD496790']"
"['4108-61-6', 'BD562129']"
"['895929-56-3', 'BD569522']"
"['1383973-53-2', 'BD570366']"
"['3682-14-2', 'BD6187']"
"['313645-14-6', 'BD624665']"
"['127-71-9', 'BD626285']"
"['1108745-30-7', 'BD683408']"
"['1255942-06-3', 'BD763165']"
"['1082649-42-0', 'BD767020']"
"['2172063-36-2', 'BD00816020']"
"['31911-20-3', 'BD00824079']"
"['1213581-06-6', 'BD00849467']"
"['24007-66-7', 'BD01084282']"
"['502686-01-3', 'BD01117794']"
"['936500-99-1', 'BD01186666']"
"['444289-05-8', 'BD01281411']"
"['1212946-34-3', 'BD01388199']"
"['2829282-04-2', 'BD01400768']"
"['85157-21-7', 'BD160257']"
"['74853-08-0', 'BD163967']"
"['888-79-9', 'BD173217']"
"['731859-02-2', 'BD209572']"
"['1391354-92-9', 'BD209813']"
"['1159822-27-1', 'BD214718']"
"['159768-57-7', 'BD102237']"
"['22246-07-7', 'BD110211']"
"['5417-63-0', 'BD12850']"
"['191732-72-6', 'BD136128']"
"['6492-86-0', 'BD14369']"
"['5053-63-4', 'BD28881']"
"['1053239-39-6', 'BD305116']"
"['6973-93-9', 'BD320247']"
"['18992-86-4', 'BD330668']"
"['114843-08-2', 'BD335578']"
"['967-80-6', 'BD35528']"
"['936501-00-7', 'BD449161']"
"['828911-26-8', 'BD258324']"
